Seção;Sub seção;Informação;Fonte Citada;Pagina;Só texto;Relatório;Observação;Link;Comentário relatório;Aberta;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;"PROGRAMA DE AVALIAÇÃO SANITÁRIA DE FARMÁCIAS DE
MANIPULAÇÃO DE CURITIBA - PASFARMA";Centro de Saúde Ambiental – Coordenação de Vigilância Sanitária;11-12;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;LEI ANTIFUMO;Não Informada;09-10;S;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;"INSPEÇÕES SANITÁRIAS REALIZADAS DURANTE AS AÇÕES INTEGRADAS DE
FISCALIZAÇÃO URBANA – AIFU, DE ACORDO COM A ATIVIDADE DE
INTERESSE À SAÚDE";Não Informada;12-13;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;"AVALIAÇÃO DA QUALIDADE DAS INSTITUIÇÕES DE LONGA
PERMANÊNCIA PARA IDOSOS – ILPIs";Centro de Saúde Ambiental – Coordenação de Vigilância Sanitária;13;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;"PLANO DE AVALIAÇÃO SANITÁRIA DE ESTABELECIMENTOS DE
SAÚDE – PASES
METAS REALIZADAS";Centro de Saúde Ambiental – Coordenação de Vigilância Sanitária - SIMIVISA;14;S;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;GERENCIAMENTO DE RESÍDUOS DE SAÚDE;Centro de Saúde Ambiental – Coordenação de Vigilância em Saúde Ambiental;15;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL;;GERENCIAMENTO DE RESÍDUOS DE SAÚDE - METAS REALIZADAS;Não Informado;15;S;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - PROGRAMA MUNICIPAL DE PREVENÇÃO E CONTROLE DA DENGUE;;PESQUISAS REALIZADAS PELAS EQUIPES DE COMBATE AO VETOR (Aedes aegypti);CSA – Programa Municipal de Controle da Dengue – S. A. U. - Serviço de Saneamento Ambiental;16;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - PROGRAMA MUNICIPAL DE PREVENÇÃO E CONTROLE DA DENGUE;;PESQUISAS REALIZADAS PELAS EQUIPES DE COMBATE AO VETOR (Aedes aegypti) - METAS REALIZADAS;Não Informado;16-30;S;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - PROGRAMA MUNICIPAL DE PREVENÇÃO E CONTROLE DA DENGUE;;PESQUISAS REALIZADAS PELAS EQUIPES DE COMBATE AO VETOR (Aedes aegypti) - RESULTADOS/INDICADORES DE SAÚDE;Não Informada;30;S;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - AÇÕES DE CONTROLE DE ZOONOSES E VETORES ;;NÚMERO DE SOLICITAÇÕES DO SERVIÇO DE CONTROLE DE ANIMAIS;Centro de Saúde Ambiental – Coordenação de Controle de Zoonoses e Vetores;30;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - AÇÕES DE CONTROLE DE ZOONOSES E VETORES ;;APREENSÃO;Centro de Saúde Ambiental – Coordenação de Controle de Zoonoses e Vetores;31;N;12-3;;;em virtude da lei complementar 141/2012 a atividade relacionada a remoção de animais mortos está sendo assumida pela Secretaria Municipal do Meio Ambiente mas ainda em parceria com a SMS;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - AÇÕES DE CONTROLE DE ZOONOSES E VETORES;;COMENTÁRIOS;Não Informada;31-32;S;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - AÇÕES DE CONTROLE DE ZOONOSES E VETORES;;ATENDIMENTO À POPULAÇÃO EM RELAÇÃO À FAUNA SINANTRÓPICA;Centro de Saúde Ambiental – Coordenação de Controle de Zoonoses e Vetores;32;N;12-3;;;Fauna Sinantrópica (aranhas, morcegos, escorpiões, pombos, etc.).;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL AÇÕES DE CONTROLE DE ZOONOSES E VETORES - ATENDIMENTO À POPULAÇÃO EM RELAÇÃO À FAUNA;;ATENDIMENTO À POPULAÇÃO EM RELAÇÃO À FAUNA SINANTRÓPICA - COMENTÁRIOS;Não Informada;32;S;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - AÇÕES DE CONTROLE DE ZOONOSES E VETORES;;DESRATIZAÇÃO;Centro de Saúde Ambiental – Coordenação de Controle de Zoonoses e Vetores;33;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL AÇÕES DE CONTROLE DE ZOONOSES E VETORES;;DESRATIZAÇÃO - COMENTÁRIOS;Não Informada;33-40;S;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL AÇÕES DE CONTROLE DE ZOONOSES E VETORES;;DESRATIZAÇÃO - RESULTADOS/INDICADORES DE SAÚDE;Não Informada;40;S;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - VIGILÂNCIA DA QUALIDADE DA ÁGUA PARA CONSUMO HUMANO;;"ÁGUA DE ABASTECIMENTO PÚBLICO
(SANEPAR)";Centro de Saúde Ambiental – Coordenação de Vigilância em Saúde Ambiental;41;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - VIGILÂNCIA DA QUALIDADE DA ÁGUA PARA CONSUMO HUMANO;;FONTES ALTERNATIVAS;Centro de Saúde Ambiental – Coordenação de Vigilância em Saúde Ambiental;41;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - VIGILÂNCIA DA QUALIDADE DA ÁGUA PARA CONSUMO HUMANO;;METAS REALIZADAS/COMENTARIOS;Não Informada;41-48;S;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - VIGILÂNCIA DA QUALIDADE DA ÁGUA PARA CONSUMO HUMANO;;RESULTADOS/INDICADORES DE SAÚDE;Não Informada;48;S;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - PROGRAMA DE CONTROLE DO TABAGISMO;;METAS REALIZADAS;Coordenação do Tabagismo - CIS;49;N;12-3;;;;;;;;;;;;;;;;;;;;;
SAÚDE AMBIENTAL - PROGRAMA DE CONTROLE DO TABAGISMO;;RESULTADOS/INDICADORES DE SAÚDE;Não Informada;49;S;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - REDE ASSISTENCIAL EM CURITIBA;;REDE PRÓPRIA;Não Informada;50;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - REDE ASSISTENCIAL EM CURITIBA;;REDE SUS - TOTAL DE ESTABELECIMENTOS HOSPITALAR E AMBULATORIAL SUS ATIVOS – POR UNIDADE;Não Informada;50-51;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - REDE ASSISTENCIAL EM CURITIBA;;REDE SUS - LEITO SUS;Não Informada;51;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - REDE ASSISTENCIAL EM CURITIBA;;REDE SUS - HOSPITAIS ATIVOS SUS CURITIBA;Não Informada;51;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - REDE ASSISTENCIAL EM CURITIBA;;REDE SUS - UNIDADES MISTAS – CMUM;Não Informada;51;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE;;OFERTAS E PRODUÇÃO GERAL DE SERVIÇOS DO SUS;CCAA/DATASUS;52;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - GESTÃO DA ATENÇÃO PRIMÁRIA;;COBERTURA VACINAL EM CRIANÇAS MENORES DE 1 ANO E EM CRIANÇAS COM 1 ANO – CURITIBA;Centro de Epidemiologia/Central de Vacinas;52;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - GESTÃO DA ATENÇÃO PRIMÁRIA;;COBERTURA VACINAL EM CRIANÇAS MENORES DE 1 ANO E EM CRIANÇAS COM 1 ANO – CURITIBA - METAS REALIZADAS;Não Informada;52-53;S;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - GESTÃO DA ATENÇÃO PRIMÁRIA;;COBERTURA VACINAL EM CRIANÇAS MENORES DE 1 ANO E EM CRIANÇAS COM 1 ANO – CURITIBA - RESULTADOS/INDICADORES DE SAÚDE;Não Informada;53;S;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - ESTRATÉGIA SAÚDE DA FAMÍLIA E PACS - SMS / CURITIBA ;;UNIDADES - ESF / PACS;SIAB/CNES;53;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - ESTRATÉGIA SAÚDE DA FAMÍLIA E PACS - SMS / CURITIBA ;;RESULTADOS/INDICADORES DE SAÚDE;Não Informada;54;S;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - ESTRATÉGIA SAÚDE DA FAMÍLIA E PACS - SMS / CURITIBA ;;PRODUÇÃO AMBULATORIAL;Não Informada;54;S;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - ESTRATÉGIA SAÚDE DA FAMÍLIA E PACS - SMS / CURITIBA ;;PRODUÇÃO MÉDICA E DE ENFERMAGEM REALIZADAS – SUS - PROCEDIMENTOS;Relatório a partir de dados do DATASUS/TABWIN;54;N;12-3;Esse relatatório foi subdivido em edições seguintes;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - ESTRATÉGIA SAÚDE DA FAMÍLIA E PACS - SMS / CURITIBA ;;PRODUÇÃO ODONTOLÓGICA – SUS - PROCEDIMENTOS;Relatório a partir de dados do DATASUS/TABWIN;54;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - ESTRATÉGIA SAÚDE DA FAMÍLIA E PACS - SMS / CURITIBA ;;PRODUÇÃO DO LABORATÓRIO MUNICIPAL - EXAMES;Laboratório Municipal de Curitiba – Secretaria Municipal da Saúde;55;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - ESTRATÉGIA SAÚDE DA FAMÍLIA E PACS - SMS / CURITIBA ;;PRODUÇÃO DO LABORATÓRIO MUNICIPAL - COMENTARIOS;Não Informada;55;S;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - ESTRATÉGIA SAÚDE DA FAMÍLIA E PACS - SMS / CURITIBA ;;DEMONSTRATIVO DE PROCEDIMENTOS - PROCEDIMENTOS;Relatório a partir de dados do DATASUS/TABWIN;55;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - GESTÃO DA MÉDIA E ALTA COMPLEXIDADE;;PROCEDIMENTOS REALIZADOS DE MÉDIA COMPLEXIDADE - PROCEDIMENTOS;Relatório a partir de dados do DATASUS/TABWIN;55;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - GESTÃO DA MÉDIA E ALTA COMPLEXIDADE;;EXAMES REALIZADOS DE MÉDIA COMPLEXIDADE - PROCEDIMENTOS DE DIAGNOSE;Relatório a partir de dados do DATASUS/TABWIN;56;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - GESTÃO DA MÉDIA E ALTA COMPLEXIDADE;;PROCEDIMENTOS REALIZADOS DE MÉDIA E ALTA COMPLEXIDADE - OUTRAS AÇÕES ESPECIALIZADAS;Relatório a partir de dados do DATASUS/TABWIN;56;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - GESTÃO DA MÉDIA E ALTA COMPLEXIDADE;;PROCEDIMENTOS DE ALTA COMPLEXIDADE - PROCEDIMENTOS;Relatório a partir de dados do DATASUS/TABWIN;56;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - GESTÃO DA MÉDIA E ALTA COMPLEXIDADE;;TOTAL DE PROCEDIMENTOS REALIZADOS DA ATENÇÃO BÁSICA, MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL DEMONSTRATIVO DE PROCEDIMENTOS REALIZADOS - PROCEDIMENTOS;Relatório a partir de dados do DATASUS/TABWIN;56;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - GESTÃO HOSPITALAR;;INTERNAMENTOS SUS – CURITIBA - AIHS PAGAS E VALOR MÉDIO;DATASUS – Arquivos RD de AIHs Pagas;57;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - GESTÃO HOSPITALAR;;INTERNAMENTOS SUS – CURITIBA - INTERNAMENTOS POR ESPECIALIDADE CLÍNICA – SUS;DATASUS – Arquivos RD de AIHs Pagas;57;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - GESTÃO HOSPITALAR;;INTERNAMENTOS SUS – CURITIBA - PROCEDÊNCIA DOS PACIENTES INTERNADOS PELO SUS;DATASUS – Arquivos RD de AIHs Pagas;57;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - AUDITORIA;;AUDITORIAS CONCLUÍDAS NA SECRETARIA MUNICIPAL DA SAÚDE;Centro de Controle, Avaliação e Auditoria;58;N;12-3;;;O SEGUNDO QUADRIMESTRE FOI ATUALIZADO.;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - AUDITORIA;;RECOMENDAÇÕES E DETERMINAÇÕES MAIS FREQUENTES DAS AUDITORIAS REALIZADAS;Centro de Controle, Avaliação e Auditoria;58;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - AUDITORIA;;LISTA DE PRESTADORES AUDITADOS NO PERÍODO;Centro de Controle, Avaliação e Auditoria;59-60;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - CENTRAIS DE APOIO;;OUVIDORIA DA SAÚDE - RELATÓRIO DE MANIFESTAÇÕES REGISTRADAS;Ouvidoria da Saúde;60;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - CENTRAIS DE APOIO;;OUVIDORIA DA SAÚDE - RECLAMAÇÕES;Ouvidoria da Saúde;60;N;12-3;;;Reclamações de Recursos Humanos refere-se à qualidade do atendimento profissional, quantidade de profissionais, falta do profissional ao trabalho e recusa de atendimento.;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - CENTRAIS DE APOIO;;CENTRAIS DE APOIO - OUVIDORIA DA SAÚDE - SOLICITAÇÕES;Ouvidoria da Saúde;61;N;12-3;;;Solicitações de Recursos Humanos refere-se a pedir mais profissionais.;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - CENTRAIS DE APOIO;;CENTRAIS DE APOIO - PROBLEMAS COM ATENDIMENTO PROFISSIONAL;Ouvidoria da Saúde;61;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - CENTRAL DE AMBULÂNCIAS;;CHAMADOS ATENDIDOS PELA CENTRAL DE AMBULÂNCIA DA SMS;Central de Ambulâncias;61;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - CENTRAL DE MARCAÇÃO DE CONSULTAS ESPECIALIZADAS;;DISTRIBUIÇÃO DAS CONSULTAS ESPECIALIZADAS AGENDADAS E PERCENTUAL, POR DISTRITO SANITÁRIO DA SMS;CMCE – Central de Marcação de Consultas e Exames Especializados;62;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - CENTRAL DE MARCAÇÃO DE CONSULTAS ESPECIALIZADAS;;DISTRIBUIÇÃO DOS EXAMES ESPECIALIZADOS AGENDADOS E PERCENTUAL,POR DISTRITO SANITÁRIO DA SMS;CMCE – Central de Marcação de Consultas e Exames Especializados;62;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - SISTEMA DE URGÊNCIA E EMERGÊNCIA DE CURITIBA;;SUEC TIPO DE LIGAÇÕES/OCORRÊNCIAS TIPO DE LIGAÇÕES/OCORRÊNCIAS - SOLICITAÇÕES;S-Box, Datasus;63;N;12-3;TOTAL E TIPO DE LIGAÇÕES/OCORRÊNCIAS RECEBIDAS VIA TELEFONE PARA ATENDIMENTOS DE URGÊNCIA E EMERGENCIA;;;;;;;;;;;;;;;;;;;;
GESTÃO DA ATENÇÃO, DO ACESSO E DA QUALIDADE DAS AÇÕES E SERVIÇOS DE SAÚDE - SISTEMA DE URGÊNCIA E EMERGÊNCIA DE CURITIBA;;TOTAL DE ATENDIMENTOS REALIZADOS PELOS VEICULOS DO SAMU E SIATE;SAMU/SIATE;63;N;12-3;NESTE RELATÓRIOS NÃO É INFORMADO NO NOME DO INDICADOR QUE A REMOÇÃO É FEITA PELO SAMU SIATE, MAS A FONTE E O RELATÓRIO É IGUAL;;;;;;;;;;;;;;;;;;;;
"GESTÃO DOS PROBLEMAS DE SAÚDE -
CONTROLE DE PATOLOGIAS - CONDIÇÕES CRÔNICAS - SAÚDE MENTAL - PROMOÇÃO DA SAÚDE MENTAL";;METAS REALIZADAS;Coordenação do Programa Saúde Mental – SMS;63-65;S;12-3;;;;;;;;;;;;;;;;;;;;;
"GESTÃO DOS PROBLEMAS DE SAÚDE -
CONTROLE DE PATOLOGIAS - CONDIÇÕES CRÔNICAS - SAÚDE MENTAL - PROMOÇÃO DA SAÚDE MENTAL";;GERÊNCIA DA ATENÇÃO À SAÚDE MENTAL;Coordenação do Programa Saúde Mental – SMS;65-66;N;12-3;;;;;;;;;;;;;;;;;;;;;
"GESTÃO DOS PROBLEMAS DE SAÚDE -
CONTROLE DE PATOLOGIAS - CONDIÇÕES CRÔNICAS - SAÚDE MENTAL - PROMOÇÃO DA SAÚDE MENTAL";;PRODUÇÃO AMBULATORIAL DE PROCEDIMENTOS DE SAÚDE MENTAL;Coordenação do Programa Saúde Mental – SMS;66;N;12-3;;;;;;;;;;;;;;;;;;;;;
"GESTÃO DOS PROBLEMAS DE SAÚDE -
CONTROLE DE PATOLOGIAS - CONDIÇÕES CRÔNICAS - SAÚDE MENTAL - PROMOÇÃO DA SAÚDE MENTAL";;RESULTADOS/INDICADORES DE SAÚDE;Não Informado;66;S;12-3;;;;;;;;;;;;;;;;;;;;;
"GESTÃO DOS PROBLEMAS DE SAÚDE -
CONTROLE DE PATOLOGIAS - CONDIÇÕES CRÔNICAS - HIPERTENSÃO ARTERIAL SISTÊMICA (HAS) E DIABETE MELITO
(DM)";;Quadro resumo – Hipertensão Arterial Sistêmica;Coordenação do Programa de Saúde do Adulto/Idoso/SMS e Cartão Saúde;66-67;N;12-3;;;;;;;;;;;;;;;;;;;;;
"GESTÃO DOS PROBLEMAS DE SAÚDE -
CONTROLE DE PATOLOGIAS - CONDIÇÕES CRÔNICAS - HIPERTENSÃO ARTERIAL SISTÊMICA (HAS) E DIABETE MELITO
(DM)";;COMENTÁRIOS;Não Informado;67;S;12-3;;;;;;;;;;;;;;;;;;;;;
"GESTÃO DOS PROBLEMAS DE SAÚDE -
CONTROLE DE PATOLOGIAS - CONDIÇÕES CRÔNICAS - HIPERTENSÃO ARTERIAL SISTÊMICA (HAS) E DIABETE MELITO
(DM)";;Quadro resumo - Diabete Melito;Coordenação do Programa de Saúde do Adulto/Idoso/SMS e Cartão Saúde;67-68;N;12-3;;;;;;;;;;;;;;;;;;;;;
"GESTÃO DOS PROBLEMAS DE SAÚDE -
CONTROLE DE PATOLOGIAS - CONDIÇÕES CRÔNICAS - HIPERTENSÃO ARTERIAL SISTÊMICA (HAS) E DIABETE MELITO
(DM)";;COMENTÁRIOS;Não Informado;68;S;12-3;;;;;;;;;;;;;;;;;;;;;
"GESTÃO DOS PROBLEMAS DE SAÚDE -
CONTROLE DE PATOLOGIAS - CONDIÇÕES CRÔNICAS - HIPERTENSÃO ARTERIAL SISTÊMICA (HAS) E DIABETE MELITO
(DM)";;METAS REALIZADAS;Não Informado;68-69;S;12-3;;;;;;;;;;;;;;;;;;;;;
"GESTÃO DOS PROBLEMAS DE SAÚDE -
CONTROLE DE PATOLOGIAS - CONDIÇÕES CRÔNICAS - HIPERTENSÃO ARTERIAL SISTÊMICA (HAS) E DIABETE MELITO
(DM)";;RESULTADOS/INDICADORES DE SAÚDE;Não Informado;69-70;S;12-3;;;;;;;;;;;;;;;;;;;;;
"GESTÃO DOS PROBLEMAS DE SAÚDE -
CONTROLE DE PATOLOGIAS - CONDIÇÕES CRÔNICAS - AIDS E DOENÇAS SEXUALMENTE TRANSMISSÍVEIS";;Reduzir a transmissão do HIV e Doenças Sexualmente Transmissíveis (DST);Coordenação DST/Aids /CRM;70;N;12-3;;;;;;;;;;;;;;;;;;;;;
"GESTÃO DOS PROBLEMAS DE SAÚDE -
CONTROLE DE PATOLOGIAS - CONDIÇÕES CRÔNICAS - AIDS E DOENÇAS SEXUALMENTE TRANSMISSÍVEIS";;METAS REALIZADAS;Não Informado;70-72;S;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DOS PROBLEMAS DE SAÚDE - Melhorar a qualidade da assistência aos portadores do vírus HIV e doentes de AIDS;;TESTES REALIZADOS;Coordenação DST/Aids / Laboratório Municipal / COA/CRM;72;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DOS PROBLEMAS DE SAÚDE - Melhorar a qualidade da assistência aos portadores do vírus HIV e doentes de AIDS;;GENOTIPAGEM;Laboratório Municipal de Curitiba;72;N;12-3;;;;;;;;;;;;;;;;;;;;;
GESTÃO DOS PROBLEMAS DE SAÚDE - Melhorar a qualidade da assistência aos portadores do vírus HIV e doentes de AIDS;;METAS REALIZADAS;Não Informado;72-73;S;12-3;;;;;;;;;;;;;;;;;;;;;
